Idiom;Literal Meaning;Actual meaning;Meaning in Spanish;Image
Die Kirche im Dorf lassen;To leave the church in the village;To not get carried away;No dejarse llevar;https://www.redensarten.net/Bilder/kirche_ums_dorf.jpg
Daumen drücken!;Press/hold your thumbs!;Keep your fingers crossed!;Cruza los dedos;https://images-na.ssl-images-amazon.com/images/I/616sgeIrCBL._AC_SX425_.jpg
Abgehen wie Schmidts Katze;To go off like Smith’s cat;To be very quick;Ser muy rápido;https://einfachtierisch.de/media/cache/article_main_image_tablet/cms/2013/01/Rote-Katze-Gitarre.jpg?874900
Die Radieschen von unten anschauen/betrachten;To see/view the radishes from below;To be pushing up daisies (to be dead);Estar criando malvas;https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/cc1aca9b-ac06-44d2-85dc-0146ec11320f/d8u3dzu-9bda7a2e-053a-4f52-acd8-21b1cbf4507e.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvY2MxYWNhOWItYWMwNi00NGQyLTg1ZGMtMDE0NmVjMTEzMjBmXC9kOHUzZHp1LTliZGE3YTJlLTA1M2EtNGY1Mi1hY2Q4LTIxYjFjYmY0NTA3ZS5qcGcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.mUnMDwzRjnAp0DX-PDHub7ujDkUufNUkjaFtJKIA5ws
Ein Ohr abkauen;To chew someone’s ear off;To talk someone’s ear off;Hablar mal de alguien;https://hundekinder.files.wordpress.com/2010/01/27-tag_-ohr-abkauen.jpg
Er muss zu allem seinen Senf dazugeben;To add your mustard to it;Give their two cents worth;Poner tu granito de arena;https://germanculture.com.ua/wp-content/uploads/2018/02/senf-e1519761832939.jpg
Alle Eier in einen Korb legen;To put all one’s eggs in one basket;To put all one’s eggs in one basket;Jugárselo todo a una carta;https://www.blog.union-investment.de/.imaging/stk/union-investment/1200-16x9/dam/Blog/Hintergruende/16x9/V1_ohneVerlauf.jpg/jcr:content/V1_ohneVerlauf.jpg
Er fällt immer mit der Tür ins Häuschen;He always falls into the house through the door;He always gets right to the point/just blurts it out;Ir al grano;https://i.pinimg.com/236x/1e/1f/e0/1e1fe09002bdae3ac9e05b4af55e5d0d--werfen-korn.jpg
Abwarten und Tee trinken;To wait and drink tea;To wait and see;Espera y verás;https://cdn.shopify.com/s/files/1/2116/4955/files/1_3000x.png?v=1589384908
Äpfel mit Birnen vergleichen.;Comparing apples and pears;Comparing apples and oranges;Comparar peras con manzanas;https://3.bp.blogspot.com/-EcUfIDi_eqE/WRR5P8gjX9I/AAAAAAAAosc/lXlffKoyfC4x25yEivM6kqXcEkl9_vzxACLcB/s1600/ApfelBirne.jpg
Eine Extrawurst haben;To ask for an extra sausage;To ask for special treatment;Pedir trato especial;https://chatterbug-community.global.ssl.fastly.net/optimized/1X/ab1c6c798a9f60977f14080807e931f9d59804e9_2_500x500.png
Schlafen wie ein Murmeltier;Sleep like a woodchuck [marmot];Sleep like a log;Dormir como un tronco;https://naturfotografen-forum.de/data/o/235/1179979/image.jpg
Sie hat einen Kater;She has a tomcat;She’s got a hangover;Estar de resaca;https://blog.kenn-dein-limit.info/wp-content/uploads/2016/01/Fotolia_80626404_Subscripti.jpg
Da liegt der Hund begraben;That’s where the dog is buried;That’s the heart of the matter;Ese es el quid de la cuestión;https://de.toluna.com//dpolls_images/2019/03/25/a97f8818-fd67-4fac-8d3f-923c60e14dea.jpg
Das ist nicht dein Bier!;That’s not your Beer!;Mind your own business;Métete en tus asuntos;https://s3-eu-west-1.amazonaws.com/com.idmgroup.lab.images.prod/pic/living/Germany/Idioms/nicht_mein_bier.jpg
In den sauren Apfel beißen;To bite into the sour apple;Just do it;Just do it;https://www.svz.de/img/guestrower-anzeiger/crop11134896/9134549026-cv1_1-w843/23-75163566-23-75169942-1446766296.jpg
Das ist ein Katzensprung;That’s a cat’s jump;It’s a stone’s throw away;A un tiro de piedra;https://img.fotocommunity.com/nur-ein-katzensprung-6104d7a0-51ce-4827-9e79-281422439e52.jpg?height=1000
Senf dazu geben;Adding your mustard;That person who always has to add his or her opinion to everything;Dar su opinion;https://chatterbug-community.global.ssl.fastly.net/optimized/2X/6/6e3b575b01ee17b56f9bd9eb1df7fa3630fd4f22_2_1024x1024.png
Affentheater;Monkey Theater;Complete farce (expression that you use to characterize human behavior as exaggerated, ridiculous and annoying);Montar un escandalo;https://i.pinimg.com/originals/4e/ea/8c/4eea8cf89bbf4ada7e1ef4afba987f10.png"
Alle Brücken hinter sich abbrechen;To demolish all bridges behind you;To burn one’s bridges;Cerrarse puertas;https://karrierebibel.de/wp-content/uploads/2017/06/Bruecken-abbrechen-Definition-Gruende-Tipps-verbrannte-Erde-650x434.png
Klar wie Kloßbrühe;Clear as dumpling broth;Crystal clear;Más claro que el agua;https://i.pinimg.com/originals/20/c9/c0/20c9c02147b45a7c7bfa5232b539b079.jpg
Zwei Fliegen mit einer Klappe schlagen;Kill two flies with one swat;To kill two birds with one stone;Matar dos pájaros de un tiro;https://i.pinimg.com/originals/8e/7b/41/8e7b4118ff506be854a5c83d15fe38b3.jpg
Da kannst du Gift drauf nehmen;You can take poison on that;You can bet your life on that;Poner la mano en el fuego;https://germanculture.com.ua/wp-content/uploads/2018/03/gift-e1519924446991.jpg
Einen Vogel haben;To have a bird;To have bats in the belfry;Estar como una cabra;https://pagewizz.com/static/uploads/de/page/2013/11/15/21-30-44-153_640.png
Ich habe die Nase voll;I have the nose full;To be fed up;Estar hasta las narices;https://i.pinimg.com/originals/59/3a/0f/593a0fb3f5cf7083aa9216ebe866549d.jpg
April, April der macht was er will;April, April does want it wants;The weather will change often in April;El tiempo cambia mucho el abril;https://blog.leonipfeiffer.de/wp-content/uploads/2012/03/leonipfeiffer_kroetschuhuu_04_April_lightbox.jpg"
ich habe Schwein gehabt;I’ve had a pig!;I’ve had a stroke of luck!;Tener un golpe de suerte;https://m.media-amazon.com/images/I/41nfbaQ9ubL.jpg
Dir haben sie wohl etwas in den Kaffee getan;You've probably done something in/to the coffee;You've got to be kidding.;Tienes que estar de broma;https://machleiser.de/wp-content/uploads/2021/01/leise_kaffeemuhle.jpg
